Species;Taxa;Sex;Age.d;Weght.g;Length.cm;Asymptotic weight.g;Asymptotic length.cm;Paper ;Comments
Dosidicus gigas;Squid;NA;190.619;1051.441579;37.436;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;176.692;1082.314591;37.941;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;221.954;1096.100431;38.164;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;235.88;1111.104428;38.405;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;157.544;1113.793007;38.448;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;218.472;1143.026776;38.912;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;212.379;1159.074274;39.164;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;204.545;1159.329965;39.168;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;178.433;1160.289076;39.183;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;232.398;1174.340614;39.402;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;186.267;1175.950448;39.427;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;168.859;1176.594713;39.437;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;224.565;1206.827761;39.903;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;234.139;1255.751502;40.644;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;183.656;1274.241176;40.92;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;176.692;1274.510209;40.924;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;219.342;1289.692457;41.149;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;226.306;1306.334084;41.394;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;201.064;1307.288495;41.408;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;201.064;1307.288495;41.408;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;188.878;1307.765841;41.415;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;177.563;1359.591987;42.167;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;233.269;1374.748369;42.384;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;228.917;1374.958537;42.387;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;215.861;1375.448995;42.394;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;210.638;1375.65922;42.397;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;255.029;1391.404782;42.621;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;188.878;1394.014873;42.658;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;236.75;1427.398827;43.128;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;194.971;1446.912829;43.4;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;188.008;1465.191505;43.653;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;238.491;1554.69206;44.868;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;204.545;1556.114302;44.887;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;183.656;1556.938024;44.898;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;252.418;1572.783836;45.109;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;261.992;1591.139602;45.352;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;217.602;1611.897998;45.625;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;214.99;1612.050607;45.627;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;231.528;1649.519322;46.115;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;217.602;1727.904233;47.117;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;199.323;1728.696371;47.127;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;280.271;1744.898557;47.331;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;199.323;1748.483497;47.376;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;261.992;1765.585965;47.59;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;255.029;1765.826354;47.593;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;243.714;1786.323728;47.848;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;238.491;1786.56563;47.851;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;233.269;1827.128479;48.351;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;262.863;1866.611796;48.832;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;270.696;1907.550903;49.325;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
